code_stati
L1440610
L2103020
L2201610
L2253010
L2313050
L2321610
L2334010
L2341620
L2341630
L2404020
L2404030
L2404040
L2443010
L4730710
L5411810
L5511910
L5733020
L5741910
L8142110
L8213010
L8222110
N3222010
N4120010
N7101810
R0100010
R0210010
R0250010
R1254030
R1264020
R2100010
R2110020
R2110030
R2335050
S0114510
