F_CdSiteHy;X;Y;25/05/2012;25/06/2012;25/07/2012;25/08/2012;25/09/2012;25/05/2013;25/06/2013;25/07/2013;25/08/2013;25/09/2013;25/05/2014;25/06/2014;25/07/2014;25/08/2014;25/09/2014;25/05/2015;25/06/2015;25/07/2015;25/08/2015;25/09/2015;25/05/2016;25/06/2016;25/07/2016;25/08/2016;25/09/2016;25/10/2016;25/11/2016
H4210413;531907.731;6843900.521;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H4220001;541425.8048;6841043.957;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
H4240001;554379.7;6842117;1;1;1;1;1;1;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
H4240002;559210.6242;6848386.061;1;1;0;0;0;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
H4250421;575253.4707;6857858.009;0;1;0;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H4250422;579739.9303;6855002.541;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H4250423;571657.4586;6854125.427;0;0;0;0;0;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H4260211;579071.1172;6859244.144;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H4270001;597989.3;6854402;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H4280001;590904.7991;6861696.759;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
H4330431;520889.7;6841891.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H4340410;547347.3079;6858111.227;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H4340431;543607.8395;6858864.655;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H4340432;557374.7836;6872313.283;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H4350001;554498.9;6876884;1;1;1;0;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H4360611;549085.8204;6875753.293;0;0;0;0;0;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H5000001;555734.3979;6906495.973;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H5023011;567268.9637;6927105.086;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H5023012;567015.6999;6931565.319;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H5042011;563746.3105;6946195.351;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H5069011;550689.5971;6944514.038;NA;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;NA;NA
H5119041;539453.8651;6939400.861;NA;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H5122351;528779.7;6936355.5;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H5130621;520290.1636;6940332.947;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;NA;NA
H6040001;524845.5611;6859756.419;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H6050220;539844.3941;6884184.802;1;1;1;0;0;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H6056413;534241.7994;6868840.085;0;0;0;0;0;1;0;0;0;NA;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;NA;NA
H6102011;517692.5454;6873413.53;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H6113011;509164.7511;6864714.696;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H6129012;523540.1948;6889635.618;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H6211011;529382.2329;6906499.156;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H6221021;536676.9112;6903173.574;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H6233704;524813.8;6918751.5;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H6233705;528986.3494;6908632.034;1;1;1;1;1;1;1;0;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H6250001;519351.4845;6912288.657;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H7102021;505272.642;6919094.213;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H7210001;495670.2;6925034;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA
H7322011;496860.0164;6943314.162;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
H7360001;499210.5;6939581.5;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
I0260001;499173.9;6895734;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I0320001;493645.8771;6900931.357;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA
I0350001;497922.5542;6911745.648;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA
I0360001;513462.7462;6902926.489;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;NA;NA
I0370001;512931.2642;6909718.688;1;1;1;1;1;1;1;0;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I1103011;493425.6;6859502.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I1160001;472786.4258;6866879.028;NA;NA;NA;NA;NA;NA;1;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I1213410;493077.4855;6915709.079;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA
I1213411;462769.9032;6869969.12;1;1;1;1;1;NA;1;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I1220001;477206.3587;6879238.428;NA;NA;NA;NA;NA;NA;1;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I1220002;475814.0871;6880766.608;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
I1220003;475126.9617;6874535.541;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
I1320001;494790.811;6879021.621;1;1;1;1;1;NA;1;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA
I1360001;486914.1369;6882956.214;1;1;1;1;1;NA;1;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I1410001;486322.4879;6899080.562;1;1;1;1;1;NA;1;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I1430001;464781.1533;6880729.034;1;1;1;1;1;NA;1;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I1460001;469339;6893007.5;1;1;1;1;1;NA;1;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I1530001;481914.8494;6911189.439;1;1;1;1;1;NA;1;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA
I2010001;483934.5852;6836813.532;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I2031021;481303.5039;6836841.832;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;NA;NA
I2102011;490120.0116;6850638.573;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I2130001;479659.7;6844806.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I2150001;474161.9;6839936;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I2180001;468407.0858;6843472.45;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I2220001;465169.3;6856734.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I2260001;456255.3015;6865149.697;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I2320001;452924.0703;6849318.454;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I2400001;429945.2321;6863008.054;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I2420001;436298.8382;6873943.22;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I2500001;452987.6947;6871127.712;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I2520001;437752.6008;6882855.186;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I2520002;443376.6958;6881604.934;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;NA;NA
I2630001;442094.3943;6886849.181;1;1;1;1;1;NA;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I2660001;458113.2823;6909138.441;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I3103011;425315.4318;6887884.457;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I3220001;446395.9;6906631.5;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I3302020;455496.425;6847768.791;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I4140001;421337.9;6867267.5;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA
I4200001;424806.413;6874991.334;1;1;1;1;1;NA;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;NA;NA
I4200002;422563.2013;6879159.637;1;1;1;1;1;NA;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I4260001;402135.6712;6873418.033;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;NA;NA
I4310001;409593.9;6882837.5;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;NA;NA
I4360001;399380.3;6891163;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;NA;NA
I4400001;413653.2682;6899129.371;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;NA;NA
I4500001;428813.0259;6903138.763;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I4530001;417988.574;6890016.838;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I4530002;419005.1;6888412.5;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I4550001;424769.8163;6906376.571;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I4640001;411846.7252;6911239.391;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
I4700001;398142.3;6921809.5;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;NA;1;1;1;1;NA;NA;1;1;NA;NA
I5013616;367469.4483;6945803.947;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;1;NA;NA
I5060001;362491.9;6936525;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;1;NA;NA
I5170001;377137.9547;6906769.273;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;1;NA;NA
I5210001;376727.7672;6899882.834;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;1;NA;NA
I5270001;388876.2166;6892997.676;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;1;NA;NA
I5290001;394514.0086;6927787.299;1;1;1;1;1;1;1;1;NA;1;1;0;1;1;1;1;NA;1;1;1;1;NA;NA;NA;1;NA;NA
I6000001;392209.9939;6930925.271;1;1;1;1;1;1;1;1;NA;1;1;1;0;1;1;1;NA;1;1;1;1;NA;NA;NA;1;NA;NA
I6000002;390736.4543;6934652.992;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;1;NA;NA
I6100001;380754.8;6950232;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;1;NA;NA
I6310001;382932.1;6954445.5;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;1;NA;NA
I6600001;350531.1079;6964261.15;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;NA;1;1;1;1;NA;NA;NA;1;NA;NA
I6700001;354182.0685;6930901.272;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;1;NA;NA
I6830001;367377.593;6915029.275;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;NA;NA
I6900001;368256.8;6900332.5;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;NA;NA
I6900002;368629.3945;6904805.931;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;NA;NA
I7030001;395575.6;6877011;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;1;NA;NA
I7040001;390440.7398;6878068.473;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;NA;NA
I7160001;376050.3392;6887484.088;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;1;NA;NA
I7202011;394815.1392;6880694.864;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;NA;NA
I7300001;368912.3411;6881903.425;1;1;1;1;1;1;1;1;NA;0;1;0;0;1;0;1;0;0;1;1;1;NA;NA;0;1;NA;NA
I7800001;364941.8;6858971;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;NA;NA
I8002011;410103.7279;6856298.993;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;NA;NA
I9000001;418032.8566;6841060.62;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;NA;1;1;1;1;NA;NA;1;1;NA;NA
I9050001;414861.4;6849076;NA;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;NA;NA
I9180001;402227;6832201.5;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;NA;1;1;1;1;NA;NA;1;1;NA;NA
I9290001;373845.455;6842078.919;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;NA;NA
J0014011;391562.0893;6823842.107;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J0030001;385560.5951;6804591.6;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;NA;NA
J0130001;359790.8156;6819186.709;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J0201511;380124.6454;6827014.947;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J0210001;360519.6108;6832397.696;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J0323011;352490.1171;6836011.9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J0407611;347481.5023;6826900.128;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J0407612;341675.1223;6833941.113;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J0600001;290752.0144;6813501.694;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J0626611;313546.8456;6811900.575;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J0630001;328252.8605;6819118.984;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;NA;NA
J0700001;341733.5149;6820757.569;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J1004521;325797.8494;6834213.6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J1105811;297632.6031;6821276.417;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J1114011;308148.5173;6811430.478;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J1140001;310081.1425;6839016.721;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J1205411;304979.5473;6841758.739;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J1300001;291800.584;6822953.846;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J1313011;293031.1356;6833893.839;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J1324011;285717.3781;6830055.73;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J1506211;261650.7788;6825898.444;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J1524011;265137.9306;6833618.813;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J1700001;247440.4856;6828005.448;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J1711711;248897.2019;6839927.792;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J1803011;262657.2082;6834668.714;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;NA;NA
J1813011;254976.7638;6854014.433;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J1813012;263960.8773;6850996.714;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;NA;NA
J2010001;241013.6275;6851999.385;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J2023011;243329.0225;6864841.442;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J2034011;234502.8931;6850903.692;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J2220001;222307.3488;6840950.57;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J2244011;222298.9945;6864481.171;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J2314911;215744.2019;6851852.307;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J2514011;208428.5156;6853605.883;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;0;NA;NA;NA
J2605411;202104.3681;6840931.55;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J2614011;193742.73;6840149.038;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J2710001;192290.8025;6839312.425;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3014331;183086.4803;6849876.541;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3014332;183631.5313;6868008.678;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3024011;173378.2684;6852813.512;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3030001;178351.5219;6866152.78;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3030002;174547.6337;6866791.035;1;1;1;1;1;1;1;1;0;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;0;NA;NA;NA
J3104011;159773.5563;6866422.633;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3104012;169783.2837;6862356.824;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3104013;166638.6413;6862331.147;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3335411;130515.1594;6837814.974;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3350001;151109.9039;6837809.57;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3413031;177871.8787;6849577.996;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3514011;175071.2932;6832669.312;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3520001;172191.217;6825766.704;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3607511;204541.2745;6833456.916;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3607512;215719.4136;6836105.201;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3713021;224741.0213;6820957.797;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J3814711;192310.2697;6822800.216;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3834011;185166.2413;6821643.05;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3910001;148299.8488;6821354.3;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3930001;165188.386;6803335.66;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J3930002;160871.0673;6799388.86;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J4014011;162991.1016;6792476.878;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J4125721;157221.5775;6790170.723;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J4201921;195664.22;6801883.207;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J4300001;171206.3291;6804693.762;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J4600001;193207.0081;6795908.175;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
J4700001;223097.4616;6802103.347;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J4712011;218578.1228;6802416.17;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J4734011;211308.8541;6804226.378;1;1;NA;1;1;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;1;1;0;0;0;NA;NA
J4734012;207406.4616;6800865.085;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
J4803011;199029.8828;6797358.536;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
