F_CdSiteHy;X;Y;25/05/2012;25/06/2012;25/07/2012;25/08/2012;25/09/2012;25/05/2013;25/06/2013;25/07/2013;25/08/2013;25/09/2013;25/05/2014;25/06/2014;25/07/2014;25/08/2014;25/09/2014;25/05/2015;25/06/2015;25/07/2015;25/08/2015;25/09/2015;25/05/2016;25/06/2016;25/07/2016;25/08/2016;25/09/2016;25/10/2016;25/11/2016
A2610201;1038095.757;6830420.979;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A2730381;1011994.419;6832687.42;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A2760753;1023921.997;6839083.894;1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;NA;NA
A2820002;1024742.725;6846031.578;1;1;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;0;1;1;1;1;0;0;NA;NA
A2910001;1043576.197;6847119.727;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A2920001;1041075.096;6848775.398;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A3320001;1050615.822;6859951.794;1;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A3400001;1011642.231;6844243.929;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A3430211;1010899.477;6864735.374;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A3440001;1023639.795;6869257.952;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A3460001;1029068.008;6863249.009;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;NA;NA
A3510001;1047332.59;6851862.921;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A3670001;1054873.096;6869268.41;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;NA;NA
A3690111;1070582.747;6874956.904;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;NA;NA
A3700001;1051979.982;6882165.332;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;NA;NA
A3710001;1058163.253;6887566.388;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A3720001;1068202.036;6881756.944;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A3800201;1055796.156;6892169.466;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;NA;NA
A3820001;1072924.363;6886437.952;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;NA;NA
A4000001;989351.1;6761643;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A4050621;974568.3;6762435.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A4080001;969406.2165;6773788.006;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A4100001;992971.8195;6774069.2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A4130001;981242.2604;6767469.852;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A4150001;977008.0557;6774202.922;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;NA;NA
A4300001;993360.2902;6782663.742;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A4400001;964625.9;6788533;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;NA;NA
A4510001;964226.2575;6799329.899;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;NA;NA
A5002011;957724.2;6820660.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A5002012;958198.8894;6811826.428;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A5200001;937484.1694;6785082.563;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A5270001;924602.648;6800450.435;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A5320001;935564.1494;6822727.994;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A5340001;931931.6469;6827301.503;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A5400001;920945.0731;6821449.418;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A5400002;921963.3461;6818772.568;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A5410001;922160.9194;6826063.357;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;0;NA;NA
A5431011;930595.9315;6832963.917;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A5431012;928311.3382;6832696.39;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A5610001;913773.7691;6835764.406;1;1;0;0;0;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;NA;NA
A5723011;906814.5088;6842704.017;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A5820001;917341.6944;6854904.163;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;1;1;1;1;0;NA;NA
A6010001;995552.8;6790034.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A6020001;993805.3;6801490;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A6070001;989462.389;6808768.753;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A6080001;995659.9;6810934.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
