r120122018DispSup-1_Sim_Weight_SAVE;r120122018DispSup-1_Sim_Weight_SAVE;r120122018DispSup1_Sim_Weight_SAVE;r120122018DispSup1_Sim_Weight_SAVE
0.866;0.84;0.867;0.846
0.635;0.733;0.629;0.729
0.741;0.612;0.738;0.611
0.631;0.585;0.633;0.588
0.648;0.627;0.668;0.634
0.875;0.827;0.849;0.816
0.837;0.768;0.833;0.768
0.858;0.739;0.85;0.746
0.904;0.872;0.897;0.872
0.795;0.754;0.79;0.759
0.835;0.8;0.821;0.798
0.784;0.819;0.782;0.816
0.738;0.809;0.738;0.804
0.888;0.723;0.913;0.729
0.783;0.802;0.767;0.796
0.773;0.765;0.667;0.7
0.753;0.692;0.751;0.678
0.635;0.695;0.619;0.681
0.658;0.657;0.656;0.656
0.884;0.837;0.84;0.829
0.807;0.704;0.811;0.705
0.576;0.615;0.601;0.64
bcc-csm1-1-rcp26;bcc-csm1-1-rcp26;bcc-csm1-1-rcp26;bcc-csm1-1-rcp26
r1;r1;r1;r1
2012;2012;2012;2012
2018;2018;2018;2018
DispSup-1_Sim_Weight_SAVE;DispSup-1_Sim_Weight_SAVE;DispSup1_Sim_Weight_SAVE;DispSup1_Sim_Weight_SAVE
LR;TLLR;LR;TLLR
