Code;X;Y;A;eco01res;eco02res;eco03res;eco04res;eco05res;eco06res;eco07res;eco08res;eco09res;eco10res;eco11res;eco12res;eco13res;eco14res;eco15res;eco16res;eco17res;eco18res;eco19res;eco20res;eco21res;eco99res;HER1;ObsPost2012;KGE_Sim;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
H5412020;660500;2437500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.82928007482057;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H5732010;649500;2424500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.866496152403591;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H5752020;638500;2430500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.858182477264038;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H6122010;797500;2471500;0;0;0;0;0;0;0;0;0;0.21217;0.78783;0;0;0;0;0;0;0;0;0;0;0;0;9;2273;0.799115124878567;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H6162010;788500;2484500;0;0;0;0;0;0;0;0;0;0.43842;0.56158;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.811946067479369;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H6233010;742500;2507500;0;0;0;0;0;0;0;0;0;0.82934;0.17066;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.905411965873888;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H6303810;728500;2492500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.815290501281712;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H6313010;745500;2479500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.798301866824697;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H6313020;720500;2489500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1858;0.791277683106947;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H6402010;745500;2456500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2279;0.656529013648432;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H6412010;719500;2475500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1704;0.788548338723039;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H6412020;713500;2476500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1876;0.816904724798597;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H6423010;697500;2479500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1862;0.868083282239064;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H6432010;684500;2484500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2237;0.844093886724832;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7033010;722500;2544500;0;0;0;0;0;0;0;0;0;0.61776;0.38224;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.92683983541616;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7041010;700500;2545500;0.09848;0;0;0;0;0;0;0;0;0.45487;0.22743;0;0;0;0;0;0;0;0;0;0.01641;0;0.20281;9;0;0.881247519181876;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7061010;684500;2540500;0.07011;0;0;0;0;0;0;0;0;0.51336;0.16194;0;0;0;0;0;0;0;0;0;0.11018;0;0.14441;9;136;0.81516547823393;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7142010;698500;2523500;0;0;0;0;0;0;0;0;0;0.99865;0.00135;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.842956693578119;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7153010;697500;2520500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.689515809231346;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7162010;684500;2523500;0;0;0;0;0;0;0;0;0;0.99939;0.00061;0;0;0;0;0;0;0;0;0;0;0;0;9;2282;0.871691903132186;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7302020;688500;2497500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.708395003441102;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7413210;645500;2506500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.757627798963813;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7702010;571500;2501500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.812439094854842;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7713010;573500;2501500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.784503908984092;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7733010;578500;2491500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.755754312311665;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7742010;580500;2492500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.897059773906708;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7742020;602500;2475500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.878152057795128;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7813010;613500;2466500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.715726347135325;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7913020;566500;2428500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.843041584241436;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H7913030;563500;2436500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.823292261806211;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H8012010;555500;2498500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.890343781008975;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H8042010;550500;2460500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.845075494474499;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H8212010;530500;2494500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2281;0.90020088073505;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H9021010;520500;2383500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.930748967471561;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H9021020;535500;2376500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.892157570732843;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H9133040;526500;2412500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.709653228854847;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H9202010;511500;2418500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.825229117534864;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H9222010;525500;2418500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2277;0.890537920180841;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H9402030;514500;2452500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.625229967553605;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I0011010;470500;2417500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.91930911126393;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I0102010;462500;2428500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2254;0.869891252129243;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I0113010;464500;2440500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2272;0.841947062493515;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I0211010;479500;2473500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.835753417249078;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I1031010;445500;2458500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.91377801368056;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I1203010;451500;2477500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.800667672410423;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I2021010;422500;2435500;0;0;0;0;0;0;0;0;0;0.88489;0;0;0.11511;0;0;0;0;0;0;0;0;0;0;9;2283;0.876087578698454;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I2051030;425500;2460500;0;0;0;0;0;0;0;0;0;0.8681;0;0;0.1319;0;0;0;0;0;0;0;0;0;0;9;0;0.885252775403639;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K4843010;515500;2285500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.781993648854756;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K5653010;607500;2226500;0;0;0;0;0;0;0;0;0;0.93209;0;0;0;0;0;0;0;0;0;0;0;0.06791;0;9;2221;0.876256111606013;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K5702310;599500;2231500;0;0;0;0;0;0;0;0;0;0.97723;0;0;0;0;0;0;0;0;0;0;0;0.02277;0;9;0;0.758594157984455;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K7514010;485500;2248500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.906991450582874;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L2321610;442500;2162500;0;0;0;0;0;0;0;0;0;0.72437;0;0;0.07607;0;0;0;0;0;0;0;0.18412;0.01544;0;9;2283;0.884240821136024;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L2443010;438500;2180500;0;0;0;0;0;0;0;0;0;0.93818;0;0;0.06182;0;0;0;0;0;0;0;0;0;0;9;2283;0.831102320170022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L4653010;545500;2185500;0;0;0;0;0;0;0;0;0;0.76815;0;0;0;0;0;0;0;0;0;0;0;0.23185;0;9;2283;0.840051169576882;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L5411810;487500;2158500;0;0;0;0;0;0;0;0;0;0.01013;0;0;0;0;0;0;0;0;0;0;0.04;0.94987;0;9;2283;0.943782397630206;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L5511910;516500;2167500;0;0;0;0;0;0;0;0;0;0.12676;0;0;0;0;0;0;0;0;0;0;0.02347;0.84977;0;9;2283;0.788419989379187;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L5741910;490500;2184500;0;0;0;0;0;0;0;0;0;0.19825;0;0;0;0;0;0;0;0;0;0;0.27079;0.53096;0;9;2281;0.651461826976297;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L6202030;485500;2210500;0;0;0;0;0;0;0;0;0;0.59462;0;0;0;0;0;0;0;0;0;0;0.40538;0;0;9;2071;0.797938371388655;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L8142110;411500;2213500;0;0;0;0;0;0;0;0;0;0.22175;0;0;0.77825;0;0;0;0;0;0;0;0;0;0;9;2281;0.695273329052769;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M0243010;441500;2355500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.892030919858178;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M0361510;487500;2370500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.843006096644108;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M0371510;475500;2359500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.824948705362082;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M0401510;474500;2353500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.872066067439824;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M0583020;408500;2323500;0;0;0;0;0;0;0;0;0;0.45636;0;0;0.54364;0;0;0;0;0;0;0;0;0;0;9;2283;0.831973477955412;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M1021610;528500;2356500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.844412729939209;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M1041610;529500;2348500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.885838805597311;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M1114010;518500;2340500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.926250707728748;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M1213010;485500;2338500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.868549368994638;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M1233030;483500;2319500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.916765914664151;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M1354020;461500;2289500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2280;0.895320653095479;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N4010610;403500;2159500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.785733607934566;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R0110010;436500;2127500;0,00001;0;0;0;0;0;0;0;0;0.34221;0;0;0;0;0;0;0;0;0;0;0.38934;0.26844;0;9;2283;0.864223362011793;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R0220010;437500;2107500;0;0;0;0;0;0;0;0;0;0.69643;0;0;0;0;0;0;0;0;0;0;0.18045;0.12312;0;9;0;0.902606159672397;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R1192510;457500;2077500;0;0;0;0;0;0;0;0;0;0.04987;0;0;0;0;0;0;0;0;0;0;0;0.95013;0;9;2056;0.882267129284437;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R5123310;375500;2070500;0;0;0;0;0;0;0;0;0;0.72477;0;0;0;0;0.27523;0;0;0;0;0;0;0;0;9;0;0.946548878558717;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R6092910;390500;2126500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.924392514262406;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S0114010;357500;2072500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.844004141189786;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O5664010;563500;1903500;0;0;0;0.71968;0;0;0;0;0;0;0;0.01193;0;0;0.26839;0;0;0;0;0;0;0;0;11;2283;0.627177492725138;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O8113510;571500;1954500;0;0;0;0.91501;0;0;0;0;0;0;0;0.08499;0;0;0;0;0;0;0;0;0;0;0;11;0;0.960393970353834;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O8133520;546500;1945500;0;0;0;0.55308;0;0;0;0;0;0;0;0.44692;0;0;0;0;0;0;0;0;0;0;0;11;2283;0.901392885083965;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P2484010;506500;1979500;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;11;2283;0.79165290384341;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P6081510;491500;2042500;0;0;0;0;0;0;0;0;0;0;0;0.058;0;0;0;0;0;0;0;0;0;0.942;0;11;2283;0.832192428562578;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P6161520;484500;2022500;0;0;0;0;0;0;0;0;0;0;0;0.30795;0;0;0;0;0;0;0;0;0;0.69205;0;11;0;0.925816644372658;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P6382510;486500;2023500;0;0;0;0;0;0;0;0;0;0;0;0.29153;0;0;0;0;0;0;0;0;0;0.70847;0;11;2283;0.930657906049678;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P7001510;480500;2023500;0;0;0;0;0;0;0;0;0;0;0;0.33906;0;0;0;0;0;0;0;0;0;0.66094;0;11;2283;0.924707369301907;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O6793310;431500;1898500;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25644;0.74356;0;0;0;0;0;0;0;0;13;0;0.925033540943359;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q2192510;373500;1881500;0;0;0;0;0;0;0;0;0;0;0;0;0;0.15404;0.84596;0;0;0;0;0;0;0;0;13;0;0.820551111258895;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q2292910;386500;1895500;0;0;0;0;0;0;0;0;0;0;0;0;0;0.21525;0.78475;0;0;0;0;0;0;0;0;13;2283;0.720974730521844;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q2354010;391500;1901500;0;0;0;0;0;0;0;0;0;0;0;0;0;0.98106;0.01894;0;0;0;0;0;0;0;0;13;0;0.916279286229047;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S2224610;353500;1939500;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;13;2283;0.929658556076758;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S2235610;352500;1944500;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;13;2283;0.843622793447925;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S2242510;346500;1952500;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;13;2283;0.95419453279546;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U0534010;881500;2299500;0;0;0;0;0;0;0;0;0;0;0.97606;0;0;0;0;0.02394;0;0;0;0;0;0;0;15;0;0.830543460907407;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U0534020;878500;2298500;0;0;0;0;0;0;0;0;0;0;0.93659;0;0;0;0;0.06341;0;0;0;0;0;0;0;15;0;0.885975689731359;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U0924020;828500;2275500;0;0;0;0;0;0;0;0;0;0;0.62397;0;0;0;0;0.37603;0;0;0;0;0;0;0;15;2283;0.912585303831965;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U1224010;815500;2269500;0;0;0;0;0;0;0;0;0;0;0.78335;0;0;0;0;0.21665;0;0;0;0;0;0;0;15;2283;0.78370683483569;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U1224020;817500;2259500;0;0;0;0;0;0;0;0;0;0;0.76333;0;0;0;0;0.23667;0;0;0;0;0;0;0;15;2283;0.711222888988983;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U1235020;819500;2250500;0;0;0;0;0;0;0;0;0;0;0.15414;0;0;0;0;0.84586;0;0;0;0;0;0;0;15;2283;0.926516004907613;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U1244030;825500;2245500;0;0;0;0;0;0;0;0;0;0;0.56698;0;0;0;0;0.43302;0;0;0;0;0;0;0;15;0;0.80379115341314;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U1334010;821500;2245500;0;0;0;0;0;0;0;0;0;0;0.90564;0;0;0;0;0.09436;0;0;0;0;0;0;0;15;2283;0.936303873062953;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U1334020;808500;2257500;0;0;0;0;0;0;0;0;0;0;0.94564;0;0;0;0;0.05436;0;0;0;0;0;0;0;15;2283;0.873831250700823;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U2654010;838500;2229500;0;0;0;0;0;0.88941;0;0;0;0;0;0;0;0;0;0.11059;0;0;0;0;0;0;0;15;380;0.831534391047699;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U3424010;821500;2188500;0;0;0;0;0;0.29698;0;0;0;0;0;0;0;0;0;0.70302;0;0;0;0;0;0;0;15;2283;0.891051496741167;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U4014010;827500;2134500;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0.75;0;0;0;0;0;0;0;15;2228;0.836752527202347;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U4204010;820500;2126500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;15;2283;0.891331805156605;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U4234010;804500;2139500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;15;0;0.818849431641045;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U4235010;806500;2129500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;15;2283;0.806033616499063;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O0015310;470500;1764500;0.03226;0.96774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2239;0.615897777822813;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O0384010;510500;1767500;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2283;0.817370414015005;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O0484010;493500;1771500;0.06685;0.93315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2280;0.749341921268659;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O0502520;501500;1777500;0.0417;0.9583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2283;0.733289513624402;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O0554010;484500;1785500;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2283;0.799736631958221;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O0592510;488500;1793500;0.02947;0.97053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2283;0.807885944114924;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O1076010;544500;1744500;0.15094;0.84906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975;0.60974215800963;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O1252510;540500;1773500;0.04429;0.95571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2283;0.710316944975541;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q6332510;358500;1781500;0.12042;0.87958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;610;0.77162011759643;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q7322510;337500;1808500;0.0387;0.9613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.66341491805097;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q9034610;309500;1802500;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.837208946019665;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q9164610;299500;1803500;0.32484;0.67516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2283;0.886835969264001;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q9302510;297500;1821500;0.19481;0.80519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.927931599582614;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y0424010;597500;1729500;0.02381;0.97619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2283;0.737762977708379;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y0434010;601500;1730500;0.01901;0.98099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.696315479239661;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y0444010;612500;1737500;0.01199;0.98561;0;0;0;0;0.0024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2283;0.75910296123716;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y0464040;615500;1739500;0.01059;0.96822;0;0;0;0;0.02119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.689798655001632;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y1112010;587500;1763500;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2271;0.76096650359683;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K0100020;725500;1988500;0;0;0;0.45853;0;0;0;0;0.54147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2283;0.828801617020598;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K0220010;726500;2004500;0;0;0;0.73908;0;0;0;0;0.26092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0.878104572877204;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K0260010;724500;2007500;0;0;0;0.82669;0;0;0;0;0.17331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0.86825864478518;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K0403010;754500;2008500;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2283;0.863376513333087;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K0454010;745500;2026500;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2283;0.832980601105638;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K0523010;726500;2034500;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1340;0.793822124102914;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K0567520;749500;2035500;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2265;0.826222108862713;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K0614010;752500;2058500;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1835;0.741396576582838;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K0643110;741500;2056500;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2283;0.786921009059204;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K0813020;727500;2094500;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2270;0.845056416641593;;;;;;;;;;;;;;;;;;;;;;;;;;;;
