HER1;Date;%_Assec;Freq_j+6;Freq_j+5;Freq_j+4;Freq_j+3;Freq_j+2;Freq_j+1;Freq_j;Freq_j-1;Freq_j-2;Freq_j-3;Freq_j-4;Freq_j-5;Freq_j-6
20;24-05-2012;0.900900900900901;0.621092887500183;0.600713077321629;0.606853283810799;0.67940794930763;0.71654769242425;0.717153853006301;0.684170600893507;0.623681356220092;0.623681356220092;0.597231123800633;0.572959190711042;0.551080034899578;0.532530704052555
20;25-06-2012;0;0.617639162678958;0.675308321765313;0.689465426811088;0.666955321696882;0.64104276298103;0.614011338208195;0.613113135121;0.577314690082948;0.577314690082948;0.546203117011345;0.521762137501405;0.500960722944273;0.483444973409845
20;25-07-2012;6.30630630630631;0.576611258413291;0.546027088598005;0.528796885554801;0.519021113267216;0.504240231906231;0.484123962421855;0.463337290370356;0.436370700606588;0.436370700606588;0.447507049201562;0.454720294422422;0.445529350960716;0.43038604065752
20;25-08-2012;24.3243243243243;0.26408756164859;0.256691317507955;0.251369032123253;0.247881395445458;0.241627019923065;0.238932232131074;0.240879828141573;0.23758415930631;0.23758415930631;0.233459517344699;0.227217788764682;0.222702372462571;0.215827360609423
20;24-09-2012;27.027027027027;0.170565199890511;0.167194671582261;0.165518347695601;0.165564964904906;0.172830437662217;0.17546727138088;0.181963014634361;0.250066127002204;0.250066127002204;0.250770846754681;0.217832822344528;0.182614399864116;0.172649512921153
21;24-05-2012;0;0.601240236245142;0.623282815910556;0.727768734070585;0.803912396828315;0.915446596014075;0.894481976382391;0.838597397091558;0.757425031999082;0.757425031999082;0.737191851972205;0.707821967013543;0.676860364465872;0.654176905682329
21;25-06-2012;0.564971751412429;0.600108511173139;0.614461637028138;0.593083131370148;0.564667352564717;0.542652400621598;0.523407434618734;0.507623015366464;0.47660399774906;0.47660399774906;0.462387859164339;0.452140081644049;0.444496382701249;0.453324858906274
21;25-07-2012;3.95480225988701;0.426507298833015;0.413214247553354;0.400136639876337;0.388596712272371;0.37704283406135;0.366083445988226;0.355470500989533;0.337098891446514;0.337098891446514;0.334059954886258;0.338428905484682;0.330827574253837;0.318450449821211
21;24-08-2012;25.8064516129032;0.209641810953827;0.199986482103386;0.195124529033071;0.190264976649086;0.186079992072513;0.182877880931482;0.181388255624977;0.177031004736641;0.177031004736641;0.171104854042759;0.165789658341295;0.164127734529749;0.172117169675832
21;26-09-2012;16.6666666666667;0.0940392253719273;0.0947307612803776;0.102709675956973;0.0989703733384428;0.107394502782172;0.154288857242236;0.228756175455949;0.185393976663758;0.185393976663758;0.159053041919444;0.148077762493883;0.141096429264984;0.136878282764859
