HER1;Date;%_Assec;Freq_j+6;Freq_j+5;Freq_j+4;Freq_j+3;Freq_j+2;Freq_j+1;Freq_j;Freq_j-1;Freq_j-2;Freq_j-3;Freq_j-4;Freq_j-5;Freq_j-6
2;25-07-2014;0;0.639785709999454;0.71461956609023;0.77590772560144;0.711067016092957;0.776725733020566;0.846355164257269;0.791387642027167;0.738759466368447;0.738759466368447;0.737205095848563;0.757273016638481;0.742002613605368;0.695574746058589
2;25-08-2014;2.5;0.735524691833506;0.647183100212754;0.618406293382794;0.582267881403088;0.558161263869947;0.537687260705908;0.528926585238121;0.660963562598876;0.660963562598876;0.593682952484862;0.562298657465496;0.542743074464023;0.521867516011129
2;26-09-2014;4.8780487804878;0.568442299929082;0.461675193388249;0.434887329987453;0.405875993671922;0.430186750968305;0.461335575800556;0.400894640008728;0.360019204189624;0.360019204189624;0.352070283563363;0.407318453221319;0.460674570618079;0.374016123506628
3;25-05-2014;0;0.419988120149949;0.408798713111686;0.413451498454165;0.457591986415856;0.496396867146686;0.521156523068601;0.480645936335387;0.640909695285557;0.640909695285557;0.587574635254825;0.534354903526913;0.508160913440464;0.488190181603043
3;25-06-2014;4.71698113207547;0.333610428682462;0.314830626121958;0.299001308288078;0.291707163853476;0.292336824193406;0.291531759383812;0.28500374862996;0.26723493050254;0.26723493050254;0.28493007904734;0.341324422386789;0.316583610604619;0.334069952895416
3;25-07-2014;0;0.496805569633797;0.594725426951967;0.678475561453565;0.647008121947905;0.596179787828555;0.561888987342447;0.552051621471431;0.535860255585982;0.535860255585982;0.563581821010113;0.650985655929445;0.641018683406177;0.597946035850567
3;26-08-2014;0;0.459825932325285;0.442573598511555;0.426304564943107;0.411522677223465;0.397633611059599;0.388718314071976;0.398853530788518;0.392367590057079;0.392367590057079;0.400028177684564;0.401841206391312;0.376178280337539;0.360157245389088
3;25-09-2014;0.471698113207547;0.391921261465896;0.419769462363871;0.397410172152003;0.379915598969046;0.357642028556448;0.345208782328313;0.333660104187356;0.310212825942413;0.310212825942413;0.310147390264237;0.336944929322729;0.354523101155305;0.362129654409497
4;26-05-2014;0;0.349220619723528;0.331445965477783;0.36326902449807;0.496812784860516;0.528302043553146;0.468841448075443;0.451372518498033;0.388409999382523;0.388409999382523;0.36598824783686;0.347283060406326;0.330506752570412;0.311740465827248
4;26-06-2014;14.2857142857143;0.154591526508155;0.14724563049653;0.141862815373074;0.140647935065072;0.147532899336803;0.138178947418552;0.129299491895286;0.153518113259727;0.153518113259727;0.242258690495584;0.261864322345309;0.194076699900941;0.152971947101931
4;25-07-2014;2.04081632653061;0.236123255726114;0.294454268637951;0.501726668534425;0.613980391197932;0.575432586722669;0.479780746674164;0.4347521208363;0.427068817511909;0.427068817511909;0.460871929464424;0.652338838512695;0.738682033095452;0.715674559456463
4;25-08-2014;0;0.481621316125871;0.450873570179541;0.42210115707957;0.395463606433322;0.382909739680909;0.397041399793999;0.435664324414514;0.726638620293709;0.726638620293709;0.656127743765453;0.574285656437132;0.529392955310433;0.507779554385269
4;25-09-2014;0;0.233151729066874;0.220252861972878;0.267639365601541;0.372891128990938;0.315646491285692;0.258182479091179;0.245916981995948;0.214420292099448;0.214420292099448;0.201611738434131;0.190812412600734;0.18024705989001;0.170132824254232
5;26-05-2014;0;0.438071115210015;0.411592839013661;0.535072179348582;0.769308573535756;0.751120585841591;0.680220924097211;0.733251299149337;0.820372351087222;0.820372351087222;0.733979483804567;0.654009982988188;0.595031342391895;0.544864619967489
5;25-06-2014;5.26315789473684;0.246357349758399;0.231795899807483;0.219738055251659;0.20942639225696;0.203405512165751;0.203717356046;0.198282960170608;0.176023149677301;0.176023149677301;0.211602581553347;0.335596664150666;0.339325280475236;0.303720534597287
