HER1;Date;%_Assec;Freq_j+6;Freq_j+5;Freq_j+4;Freq_j+3;Freq_j+2;Freq_j+1;Freq_j;Freq_j-1;Freq_j-2;Freq_j-3;Freq_j-4;Freq_j-5;Freq_j-6
20;24-05-2012;0.900900900900901;0.633076514319178;0.613879985281771;0.617937222867152;0.675139230471571;0.712432520375764;0.724108537436472;0.707857579974226;0.64774565769062;0.64774565769062;0.619434603471567;0.594612091577787;0.572852374005397;0.55410392347903
20;25-06-2012;0;0.626385932862765;0.674002748611961;0.693562963874695;0.691034300728656;0.671043621323466;0.63778170733182;0.627940214450813;0.590697903688886;0.590697903688886;0.562230448163158;0.539262636515027;0.519427887243165;0.502269784098094
20;25-07-2012;6.30630630630631;0.598419489042521;0.567923101573054;0.549937501166057;0.539781937001835;0.527414878453688;0.5090982679305;0.488570638515463;0.460404927669925;0.460404927669925;0.466355577725032;0.470176382166067;0.460684770260886;0.446451551805747
20;25-08-2012;24.3243243243243;0.281382282068291;0.274107707894982;0.268344049309522;0.26371242809316;0.257338115980334;0.253611624809544;0.253658865400761;0.251626825267675;0.251626825267675;0.244789811167888;0.238631198326406;0.233805161226795;0.22722102167311
20;24-09-2012;27.027027027027;0.172833155574443;0.169815111146813;0.167331215083075;0.166901212094515;0.171999040292015;0.176848998400343;0.191110834654864;0.250418567943974;0.250418567943974;0.252771935602566;0.229815323369162;0.199769075999268;0.185585146594941
21;24-05-2012;0;0.603925617121696;0.624168882411061;0.726649050136424;0.804189413005856;0.915496796474126;0.896560292180581;0.842798756465308;0.763307509619307;0.763307509619307;0.745151502593263;0.716331602485891;0.684829340853247;0.661389638014179
21;25-06-2012;0.564971751412429;0.597655731375228;0.60796507508459;0.587188128860776;0.560539109338336;0.539179378848504;0.521333368082734;0.506764852450413;0.476003242636801;0.476003242636801;0.463635153886593;0.45399765862819;0.446984054630343;0.455769829784462
21;25-07-2012;3.95480225988701;0.42730346705605;0.414187630772142;0.401413610067092;0.389929097173071;0.378532530348455;0.367652415354118;0.357150876889833;0.338729579749429;0.338729579749429;0.334923092476546;0.337842750421054;0.330145277422499;0.318099048360277
21;24-08-2012;25.8064516129032;0.210117046723367;0.201275201298104;0.196366411371623;0.191720447428291;0.187617960001892;0.183971594631575;0.182032968173059;0.177168290463342;0.177168290463342;0.171339573314245;0.166244463590333;0.164845596682622;0.171964946488005
21;26-09-2012;16.6666666666667;0.093671750486209;0.0951623507255871;0.102517110254078;0.0976919007714189;0.105094241911169;0.149496839137346;0.220093998570157;0.178846755515649;0.178846755515649;0.152380475221862;0.142120313869206;0.135686287755388;0.131821070668322
