HER1;Date;%_Assec;Freq_j+6;Freq_j+5;Freq_j+4;Freq_j+3;Freq_j+2;Freq_j+1;Freq_j;Freq_j-1;Freq_j-2;Freq_j-3;Freq_j-4;Freq_j-5;Freq_j-6
1;25-05-2012;1.13636363636364;0.648415001543557;0.831434028093149;0.933337797778691;0.945224944292767;0.893548212777326;0.835578384845472;0.796385144917751;0.739163564955486;0.739163564955486;0.719000667946662;0.695664127034514;0.67906340100192;0.648977921736894
1;25-06-2012;6.81818181818182;0.538781358238542;0.574443425216856;0.532462273810765;0.501466169723103;0.480094619240072;0.462566702135925;0.446104346930067;0.415876728773186;0.415876728773186;0.40234103214296;0.389676800154896;0.39607692887465;0.445766401194293
1;24-07-2012;15.9090909090909;0.314575132781198;0.303940654958349;0.294349467898798;0.284615775690248;0.2756250052456;0.267007106759698;0.259320445915475;0.245666023427992;0.245666023427992;0.257892109620368;0.292506511067281;0.266030969316252;0.245330462248507
1;25-08-2012;28.4090909090909;0.18447372754208;0.178144474419961;0.17155346668722;0.165638894057161;0.160403821165134;0.155441995380548;0.152076641270345;0.14963890668815;0.14963890668815;0.158091499718088;0.162987077043634;0.20078898436458;0.192106626117313
1;25-09-2012;34.0909090909091;0.116154532717794;0.104401288527114;0.0990551914405103;0.0954495629220631;0.102667715648175;0.120182259193719;0.11333558187104;0.132464606347321;0.132464606347321;0.12565564902303;0.240602569700002;0.410033443494397;0.307674141913321
2;25-05-2012;0;0.792139758850472;0.851741482951328;0.911810338273558;0.891049197920375;0.863346900990832;0.868638037855674;0.900470864702523;0.927835214329916;0.927835214329916;0.93007398724605;0.914553450949378;0.911920041836206;0.896691286433458
2;25-06-2012;0;0.681449527759792;0.685778644181996;0.691452745038073;0.669321088338665;0.641610791638493;0.623262319340942;0.609036251514203;0.56882175124302;0.56882175124302;0.549806166599369;0.532672032580154;0.516309696394823;0.52401519925359
2;25-07-2012;6.52173913043478;0.344070207771356;0.334985433068044;0.325236454363652;0.318106392983177;0.320160781842466;0.297142570668782;0.283317205049972;0.264203001287819;0.264203001287819;0.2731213136473;0.279682445757484;0.258164892112286;0.246107139751085
2;25-08-2012;18.6046511627907;0.160122269954628;0.157515933716732;0.148133097073855;0.145729008904828;0.14393206920774;0.137864682453403;0.180953777682738;0.170479515908988;0.170479515908988;0.154109791249041;0.18069112408222;0.244618984462545;0.266146380128877
2;25-09-2012;12.1951219512195;0.229788245961528;0.193833714343057;0.18444827386826;0.192536567495825;0.203180806953746;0.297422101630202;0.375758500801602;0.501261385851191;0.501261385851191;0.348506961989024;0.415138111445344;0.525986856359175;0.394183969039774
3;25-05-2012;0;0.611735054342238;0.76946853687237;0.932207986366838;0.978525357870485;0.973920897960738;0.939946987242712;0.905215185647099;0.858058831146823;0.858058831146823;0.832262001561339;0.797560145356918;0.771544461699575;0.751555202517184
3;25-06-2012;0;0.637187215921857;0.635867592966355;0.60764423692378;0.583741060244863;0.561027648355833;0.538775055351396;0.51983379106609;0.48573804341286;0.48573804341286;0.46843457767665;0.452861449665835;0.459518891372646;0.552612224471144
3;25-07-2012;4.71698113207547;0.406753360479065;0.392747783849654;0.38006244324911;0.367736629353186;0.35678208760639;0.345919381214418;0.335774919000742;0.323763660884632;0.323763660884632;0.337567879757802;0.337475366438812;0.320392839715151;0.308552198461509
3;24-08-2012;14.622641509434;0.276134760848455;0.267293516593994;0.258934800643576;0.252247753384489;0.248991682400655;0.255047619756659;0.261826529389364;0.252299078771492;0.252299078771492;0.240263195986214;0.238323510253432;0.260016251128163;0.284299244083094
3;25-09-2012;9.43396226415094;0.209296769473905;0.18893827273939;0.180760424037015;0.178777922161503;0.202267602029742;0.26647718201032;0.229189289647556;0.3230521281441;0.3230521281441;0.289841769550067;0.280217219101658;0.298723949294541;0.268631638188084
